"Đà Nẵng Mikazuki Japanese Resorts & Spa","Khu du lịch Xuân Thiều, đường Nguyễn Tất Thành, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Thành Phố Đà Nẵng","RESORT","3,099,000 VND"
"Resort InterContinental Đà Nẵng Sun Peninsula","Bãi Bắc, bán đảo Sơn Trà, Tp. Đà Nẵng, Việt Nam","KHÁCH SẠN","10,799,000 VND"
"Khách sạn Le Sands OceanFront Đà Nẵng","28 Võ Nguyên Giáp, Phường Mân Thái, Quận Sơn Trà, TP Đà Nẵng, Việt Nam","KHÁCH SẠN","1,188,000 VND"
"Khách sạn Golden Rose Đà Nẵng","56 Loseby Phường An Bắc Hải, Phước Mỹ, Sơn Trà, Đà Nẵng","KHÁCH SẠN","699,000 VND"
"Khách sạn Phước Mỹ An Beach Đà Nẵng","264 Hồ Nghinh, Phước Mỹ, Sơn Trà, Đà Nẵng","KHÁCH SẠN","1,208,000 VND"
"Khách sạn Canvas Đà Nẵng Beach","234 Đường Võ Nguyên Giáp, P. Phước Mỹ, Q. Sơn Trà, Đà Nẵng","KHÁCH SẠN","920,000 VND"
"Khách sạn Angel Đà Nẵng","189 Hồ Nghinh, Phước Mỹ, Sơn Trà, Đà Nẵng","KHÁCH SẠN","456,000 VND"
"Khách sạn Sala Đà Nẵng Beach","36-38 Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng","KHÁCH SẠN","899,000 VND"
"Khách sạn Wyndham Danang Golden Bay","01 Lê Văn Duyệt, Nại Hiên Đông, Sơn Trà, Thành phố Đà Nẵng, Việt Nam","KHÁCH SẠN","1,199,000 VND"
"Khách sạn Golden Sea 3 Đà Nẵng","242 đường Võ Nguyên Giáp, Quận Sơn Trà, Thành phố Đà Nẵng.","KHÁCH SẠN","699,000 VND"
"Khách sạn Grand Sea Đà Nẵng","08 Hà Bổng, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam","KHÁCH SẠN","1,206,000 VND"
"Khách sạn Alisia Beach Đà Nẵng","19 Hoàng Sa, Thọ Quang, Sơn Trà, Đà Nẵng","KHÁCH SẠN","1,199,000 VND"
"Khách sạn Parze Ocean Đà Nẵng","15 - 17 Dương Đình Nghệ, Phước Mỹ, Sơn Trà, Đà Nẵng","KHÁCH SẠN","1,599,000 VND"
"Khách Sạn Nalod Đà Nẵng","192 Võ Nguyên Giáp, P. Phước Mỹ, Q. Sơn Trà, TP. Đà Nẵng, Việt Nam","KHÁCH SẠN","1,299,000 VND"
"Khách sạn De Lamour Beach Đà Nẵng","46 Võ Nguyên Giáp, Mân Thái, Sơn Trà, Đà Nẵng","KHÁCH SẠN","808,000 VND"
"Khách sạn Mercury Boutique Đà Nẵng","125 Nguyễn Văn Linh, Nam Dương, Hải Châu, Đà Nẵng","KHÁCH SẠN","568,000 VND"
"Khách sạn Eden Ocean View Đà Nẵng","294 đường Võ Nguyên Giáp, P. Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam","KHÁCH SẠN","741,872 VND"
"Vinpearl Resort & Spa Đà Nẵng","23 Trường Sa, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng","KHÁCH SẠN","4,999,000 VND"
"Khách sạn Pharaoh Boutique Đà Nẵng","25 Lý Thánh Tông, Phường An Hải Bắc, quận Sơn Trà, Tp. Đà Nẵng","KHÁCH SẠN","599,000 VND"
"Khách Sạn Monarque Đà Nẵng","238 Võ Nguyên Giáp, Phước Mỹ, Sơn Trà, Đà Nẵng, Vietnam","KHÁCH SẠN","899,000 VND"
"Khách sạn Sea Phoenix Đà Nẵng","115 Hồ Xuân Hương, Bắc Mỹ An, Ngũ Hành Sơn, Đà NẵnG","KHÁCH SẠN","0"
"Khách sạn Stella Maris Beach Đà Nẵng","03 Võ Văn Kiệt, Phước Mỹ, Sơn Trà, Đà Nẵng","KHÁCH SẠN","999,000 VND"
"Alani Hotel & Spa Đà Nẵng","134-136-138 Trần Bạch Đằng, phường Mỹ An, quận Ngũ Hành Sơn, Đà Nẵng","KHÁCH SẠN","0"
"Khách sạn New Orient Đà Nẵng","20 Đống Đa - Thuận Phước - Hải Châu - Đà Nẵng","KHÁCH SẠN","1,560,000 VND"
